Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
01/05/2025;12:00:00;2.037;0.436;230.154;8.8;0.18;0.335;10.441
02/05/2025;12:00:00;1.139;0.238;231.275;4.9;1.417;1.076;10.84
03/05/2025;12:00:00;4.294;0.172;232.005;18.5;1.751;0.583;13.092
04/05/2025;12:00:00;2.407;0.176;238.606;10.4;1.054;1.432;17.896
05/05/2025;12:00:00;4.496;0.308;233.487;19.3;1.69;1.826;11.32
06/05/2025;12:00:00;5.6;0.596;234.703;24.1;0.153;1.764;13.581
07/05/2025;12:00:00;1.729;0.207;231.826;7.4;1.773;1.386;17.17
08/05/2025;12:00:00;5.27;0.27;235.479;22.7;1.529;1.752;12.685
09/05/2025;12:00:00;3.124;0.374;232.694;13.4;0.377;0.991;13.684
10/05/2025;12:00:00;2.355;0.501;238.226;10.1;1.817;0.252;11.591
11/05/2025;12:00:00;2.119;0.198;237.034;9.1;0.369;0.61;10.742
12/05/2025;12:00:00;2.987;0.214;235.234;12.8;1.24;0.818;12.675
13/05/2025;12:00:00;3.125;0.19;237.368;13.4;1.212;1.477;15.576
14/05/2025;12:00:00;2.476;0.55;230.229;10.6;0.056;1.901;12.276
15/05/2025;12:00:00;4.044;0.26;231.279;17.4;1.506;0.649;10.489
16/05/2025;12:00:00;3.741;0.412;232.009;16.1;0.049;0.922;18.189
17/05/2025;12:00:00;4.149;0.29;233.353;17.8;1.776;1.756;15.041
18/05/2025;12:00:00;5.857;0.453;234.423;25.2;0.593;1.276;11.15
19/05/2025;12:00:00;1.235;0.161;238.025;5.3;1.043;1.66;15.732
20/05/2025;12:00:00;3.392;0.115;236.248;14.6;1.278;1.129;16.386
21/05/2025;12:00:00;3.296;0.316;230.327;14.2;0.777;0.074;17.533
22/05/2025;12:00:00;2.411;0.244;231.455;10.4;1.881;1.286;12.649
23/05/2025;12:00:00;1.904;0.301;236.035;8.2;0.484;0.59;13.513
24/05/2025;12:00:00;5.708;0.114;232.078;24.5;0.572;1.313;10.197
25/05/2025;12:00:00;2.53;0.307;238.944;10.9;0.358;0.579;10.892
26/05/2025;12:00:00;1.207;0.296;238.738;5.2;0.469;0.488;19.661
27/05/2025;12:00:00;5.677;0.161;238.264;24.4;1.839;1.615;19.922
28/05/2025;12:00:00;5.646;0.193;232.985;24.3;1.122;1.862;14.404
29/05/2025;12:00:00;2.384;0.339;239.578;10.3;1.671;1.551;17.66
30/05/2025;12:00:00;5.933;0.557;233.017;25.5;0.778;0.948;10.377
31/05/2025;12:00:00;5.046;0.228;238.844;21.7;0.661;0.21;12.986
